model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_lstm_resource,n_inputs_resources,sequence_length_resource,lstm_size,bram_18k,lut,ff,dsp48e
48670,Not Fit,15,128,128,32,32,32,93,119212.5,31281.125,160
18805,Not Fit,14,128,128,32,32,8,22,25584.5,9047.25,34
12934,Not Fit,14,128,128,32,32,16,44,50634.6666666667,17604.6666666667,72
42159,Not Fit,14,128,128,32,32,32,93,118192,31280.6,160
45771,Not Fit,14,128,128,32,32,8,22,25468.6,9032.4,34
24303,Not Fit,14,128,128,32,32,16,44,50720.6666666667,17585,72
9322,Not Fit,15,128,128,32,32,32,93,119700,31281.125,160
6537,Fit,5,128,128,32,64,8,22,25321.4285714286,9049.85714285714,34
24287,Not Fit,5,128,128,32,64,16,44,50634.6666666667,17607.1666666667,72
43662,Not Fit,5,128,128,32,64,32,93,115106.666666667,31284,160
10925,Fit,5,128,128,32,64,8,22,25447,9035.33333333333,34
12899,Not Fit,5,128,128,32,64,16,44,50720.6666666667,17585,72
32134,Not Fit,9,128,128,32,64,32,93,115742.222222222,31283.6666666667,160
47066,Fit,8,128,128,32,64,8,22,25734,9049,34
35885,Not Fit,8,128,128,32,64,16,44,50634.6666666667,17606.6666666667,72
9630,Not Fit,8,128,128,32,64,32,93,116632,31283.8,160
29651,Not Fit,8,128,128,32,64,8,22,25444.3333333333,9034,34
2496,Not Fit,8,128,128,32,64,16,44,51214,17585.6,72
42413,Not Fit,9,128,128,32,64,32,93,116060,31282.75,160
44064,Fit,5,128,128,32,128,8,22,25218,9052,34
30103,Not Fit,5,128,128,32,128,16,44,48256,17587,72
11271,Not Fit,5,128,128,32,128,8,22,25431.2857142857,9036.85714285714,34
19227,Not Fit,5,128,128,32,128,16,44,48260,17589,72
26533,Not Fit,8,128,128,32,128,8,22,25464,9051.66666666667,34
28644,Not Fit,8,128,128,32,128,16,44,48256,17587,72
41462,Not Fit,8,128,128,32,128,8,22,25449,9037.33333333333,34
42100,Not Fit,8,128,128,32,128,16,44,50456,17587,72
12495,Not Fit,5,128,128,32,256,8,22,24868.625,9044.375,34
15395,Fit,15,512,256,8,8,8,21,20956.0769230769,8510.53846153846,26
15103,Fit,15,512,256,8,16,8,21,20918.5714285714,8511.85714285714,26
46090,Fit,15,512,256,8,32,8,21,20948.75,8514.25,26
28885,Fit,9,512,256,8,64,8,21,20961.1111111111,8516.11111111111,26
41924,Not Fit,9,512,256,8,128,8,21,20987.4782608696,8518.13043478261,26
13098,Not Fit,6,512,256,8,256,8,21,20800,8520,26
44201,Fit,14,512,512,16,8,8,21,21120.5,8658.5,26
48218,Fit,14,512,512,16,8,16,37,35388,14581,52
41540,Fit,14,512,512,16,8,32,73,75851.6666666667,32795.1666666667,108
35351,Fit,14,512,512,16,8,8,21,21110.3333333333,8644.33333333333,26
23282,Fit,15,512,512,16,8,16,37,35401.6666666667,14581.1666666667,52
44393,Not Fit,14,512,512,16,8,32,73,76221,32775,108
35064,Fit,15,512,512,16,8,16,37,35401.3333333333,14581,52
30678,Fit,14,512,512,16,16,8,21,21129.6666666667,8661.33333333333,26
18095,Fit,14,512,512,16,16,16,37,35415,14583,52
46182,Fit,14,512,512,16,16,32,73,76182.25,32800.25,108
