model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_resource,n_inputs_resources,cnn_filters_resources,sequence_length_resource,bram_18k,lut,ff,dsp48e
42031,Fit,5,16,16,16,16,128,22,18206,9003,48
42032,Fit,8,16,16,16,16,64,22,18206,9001,48
42030,Fit,11,16,16,16,16,32,22,18206,8999,48
38372,Not Fit,5,16,16,16,16,128,22,18206,9003,48
38373,Not Fit,8,16,16,16,16,64,22,18206,9001,48
38371,Not Fit,11,16,16,16,16,32,22,18206,8999,48
13741,Fit,5,16,16,16,16,128,22,18206,9003,48
13742,Fit,8,16,16,16,16,64,22,18206,9004,48
13740,Fit,11,16,16,16,16,32,22,18206,8999,48
6994,Not Fit,5,16,16,16,16,128,22,18206,9003,48
6995,Not Fit,8,16,16,16,16,64,22,18206,9001,48
6993,Not Fit,11,16,16,16,16,32,22,18206,8999,48
13972,Not Fit,5,16,16,16,16,128,22,18206,9003,48
13973,Not Fit,8,16,16,16,16,64,22,18206,9001,48
13971,Not Fit,11,16,16,16,16,32,22,18206,9002,48
3553,Fit,5,16,16,16,16,128,22,18206,9003,48
3554,Fit,8,16,16,16,16,64,22,18206,9001,48
3552,Fit,11,16,16,16,16,32,22,18206,8999,48
36873,Fit,5,16,16,16,16,128,22,18206,9003,48
36874,Fit,8,16,16,16,16,64,22,18206,9001,48
36872,Fit,11,16,16,16,16,32,22,18206,8999,48
37186,Fit,5,16,16,16,16,128,22,18206,9003,48
37187,Fit,8,16,16,16,16,64,22,18206,9004,48
37185,Fit,11,16,16,16,16,32,22,18206,8999,48
48524,Not Fit,5,16,16,16,16,128,22,18206,9003,48
48525,Not Fit,8,16,16,16,16,64,22,18206,9001,48
48523,Not Fit,11,16,16,16,16,32,22,18206,8999,48
27093,Not Fit,5,16,16,16,16,128,22,18206,9003,48
27094,Not Fit,8,16,16,16,16,64,22,18206,9001,48
27092,Not Fit,11,16,16,16,16,32,22,18206,8999,48
2242,Fit,5,16,16,16,16,128,22,18206,9003,48
2243,Fit,8,16,16,16,16,64,22,18206,9001,48
2241,Fit,11,16,16,16,16,32,22,18206,8999,48
20009,Not Fit,5,16,16,16,16,128,22,18206,9003,48
20010,Not Fit,8,16,16,16,16,64,22,18206,9001,48
20008,Not Fit,11,16,16,16,16,32,22,18206,8999,48
32447,Fit,5,16,16,16,16,128,22,18206,9003,48
32448,Fit,8,16,16,16,16,64,22,18206,9001,48
32446,Fit,11,16,16,16,16,32,22,18206,8999,48
31643,Not Fit,5,16,16,16,16,128,22,18206,9003,48
31644,Not Fit,8,16,16,16,16,64,22,18206,9001,48
31642,Not Fit,11,16,16,16,16,32,22,18206,8999,48
32991,Not Fit,5,16,16,16,16,128,22,18206,9003,48
32992,Not Fit,8,16,16,16,16,64,22,18206,9001,48
32990,Not Fit,11,16,16,16,16,32,22,18206,8999,48
36818,Not Fit,5,16,16,16,16,128,22,18206,9003,48
36819,Not Fit,8,16,16,16,16,64,22,18206,9001,48
36817,Not Fit,11,16,16,16,16,32,22,18206,8999,48
3663,Not Fit,5,16,16,16,16,128,22,18206,9003,48
3664,Not Fit,8,16,16,16,16,64,22,18206,9001,48
3662,Not Fit,11,16,16,16,16,32,22,18206,8999,48
3384,Not Fit,5,16,16,16,16,128,22,18206,9003,48
3385,Not Fit,8,16,16,16,16,64,22,18206,9001,48
