model_number,fit_status,layer_index,reuse_factor,correct_reuse_factor_latency,cnn_filters_latency,n_inputs_latency,sequence_length_latency,latency_min,latency_max
3031,Not Fit,5,16,16,16,16,512,1548,6966
3032,Not Fit,8,16,16,16,16,256,780,3510
3033,Not Fit,11,16,16,16,16,128,396,1782
17810,Not Fit,5,16,16,16,16,512,1548,6966
17811,Not Fit,8,16,16,16,16,256,780,3510
17812,Not Fit,11,16,16,16,16,128,396,1782
28219,Not Fit,5,16,16,16,16,512,1548,6966
28220,Not Fit,8,16,16,16,16,256,780,3510
28221,Not Fit,11,16,16,16,16,128,396,1782
48430,Not Fit,5,16,16,16,16,512,1548,6966
48431,Not Fit,8,16,16,16,16,256,780,3510
48432,Not Fit,11,16,16,16,16,128,396,1782
10328,Not Fit,5,16,16,16,16,512,1548,6966
10329,Not Fit,8,16,16,16,16,256,780,3510
10330,Not Fit,11,16,16,16,16,128,396,1782
40008,Not Fit,5,16,16,16,16,512,1548,6966
40009,Not Fit,8,16,16,16,16,256,780,3510
40010,Not Fit,11,16,16,16,16,128,396,1782
40448,Not Fit,5,16,16,16,16,512,1548,6966
40449,Not Fit,8,16,16,16,16,256,780,3510
40450,Not Fit,11,16,16,16,16,128,396,1782
6092,Not Fit,5,16,16,16,16,512,1548,6966
6093,Not Fit,8,16,16,16,16,256,780,3510
6094,Not Fit,11,16,16,16,16,128,396,1782
43377,Not Fit,5,16,16,32,32,128,396,1650
43378,Not Fit,8,16,16,32,32,64,204,850
43379,Not Fit,11,16,16,32,32,32,108,450
15252,Not Fit,5,16,16,32,32,128,396,1650
15253,Not Fit,8,16,16,32,32,64,204,850
15254,Not Fit,11,16,16,32,32,32,108,450
14931,Not Fit,5,16,16,32,32,128,396,1650
